system:index,estado_code,estado_name,month,poblacion_afectada,year,.geo
6_000200000000000000a3,2039,Guerrero,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000200000000000000a4,2040,Hidalgo,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000200000000000000a5,2041,Jalisco,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000200000000000000a6,2042,Mexico,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000200000000000000a7,2043,Michoacan,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000200000000000000a8,2044,Morelos,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000200000000000000a9,2045,Nayarit,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000200000000000000aa,2046,Nuevo Leon,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000200000000000000ab,2047,Oaxaca,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000200000000000000ac,2048,Puebla,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000200000000000000ad,2049,Queretaro,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000200000000000000ae,2051,San Luis Potosi,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000200000000000000af,2053,Sonora,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000200000000000000b0,2054,Tabasco,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000200000000000000b1,2055,Tamaulipas,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000200000000000000b2,2056,Tlaxcala,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000200000000000000b3,2057,Veracruz,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000200000000000000b4,2058,Yucatan,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000200000000000000b5,2059,Zacatecas,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000300000000000001b8,2050,Quintana Roo,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000300000000000001b9,2052,Sinaloa,7.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00020000000000000098,2028,Aguascalientes,8.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00020000000000000099,2029,Baja California,8.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0002000000000000009a,2030,Baja California Sur,8.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0002000000000000009b,2031,Campeche,8.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0002000000000000009c,2032,Chiapas,8.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0002000000000000009d,2033,Chihuahua,8.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0002000000000000009e,2034,Coahuila,8.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0002000000000000009f,2035,Colima,8.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000200000000000000a0,2036,Distrito Federal,8.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000200000000000000a1,2037,Durango,8.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000200000000000000a2,2038,Guanajuato,8.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000200000000000000a3,2039,Guerrero,8.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000200000000000000a4,2040,Hidalgo,8.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000200000000000000a5,2041,Jalisco,8.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000200000000000000a6,2042,Mexico,8.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000200000000000000a7,2043,Michoacan,8.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000200000000000000a8,2044,Morelos,8.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000200000000000000a9,2045,Nayarit,8.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000200000000000000aa,2046,Nuevo Leon,8.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000200000000000000ab,2047,Oaxaca,8.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000200000000000000ac,2048,Puebla,8.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
